Subset,Size,Support,Parity,GT_Parity,Accuracy,GT_Accuracy,timeElapsedToTrain,timeElapsedToDelete,Parity_Reduction,Accuracy_Reduction
{'CitizenshipStatus=Born in the U.S.'},3567,0.3205139725042681,-0.005120489784774862,0.006584157105351429,0.7784366576819407,0.7671159029649596,0.2138371467590332,0.678297758102417,69.51831319417681,-3.4383954154727743
"{'LanguageOtherThanEnglishSpokenAtHome=Spanish', 'Nativity=yes'}",3209,0.2883457633210531,-0.010433879372684807,-0.011213619799074759,0.7584905660377359,0.7579514824797844,0.21206307411193848,0.5334789752960205,37.88213769527104,-0.7879656160458471
{'Nativity=yes'},3906,0.35097493036211697,-0.014489973326061611,-0.016015776306725904,0.7576819407008086,0.7587601078167115,0.1968550682067871,1.317986011505127,13.731960482394326,-0.6805157593123166
{'WithADisability=yes'},909,0.08167849761883368,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.19982218742370605,0.3600757122039795,0.0,0.0
{'Age=<17.00'},842,0.07565819031359511,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.20075702667236328,0.34130215644836426,0.0,0.0
{'LanguageOtherThanEnglishSpokenAtHome=Spanish'},8360,0.7511905831611106,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2019360065460205,1.2348871231079102,0.0,0.0
{'MaritalStatus=Divorced'},825,0.07413064965405697,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22839570045471191,0.13611221313476562,0.0,0.0
{'RelatedChild=yes'},822,0.07386108365531495,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2097618579864502,0.31132006645202637,0.0,0.0
{'Region=Midwest'},751,0.06748135501842034,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.23023319244384766,0.1784210205078125,0.0,0.0
{'Nativity=no'},7223,0.649025069637883,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22153401374816895,2.01084303855896,0.0,0.0
{'Sex=Man'},7050,0.6334800970437595,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22443604469299316,2.0671169757843018,0.0,0.0
{'RaceEthnicity=White alone'},6616,0.5944828825590799,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.19720983505249023,1.1145780086517334,0.0,0.0
{'MaritalStatus=Married'},6024,0.5412885254739869,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21058201789855957,1.206244945526123,0.0,0.0
{'StateCode=Illinois'},601,0.05400305508131908,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.20566296577453613,0.10706210136413574,0.0,0.0
{'StateCode=California'},4589,0.41234612274238475,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21658968925476074,0.9462771415710449,0.0,0.0
{'Region=West'},4589,0.41234612274238475,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21163487434387207,0.9451000690460205,0.0,0.0
{'Region=South'},4285,0.38503010153652617,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21573400497436523,0.7898578643798828,0.0,0.0
{'CitizenshipStatus=Not a citizen of the U.S.'},4103,0.36867643094617664,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.218397855758667,1.2459709644317627,0.0,0.0
{'Sex=Woman'},4079,0.36651990295624043,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2232522964477539,1.21018385887146,0.0,0.0
{'Age=34.00-50.00'},3638,0.32689370114116273,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.20105504989624023,0.722160816192627,0.0,0.0
{'MaritalStatus=Never Married'},3622,0.3254560158145386,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22008681297302246,0.7955293655395508,0.0,0.0
{'CitizenshipStatus=U.S. citizen by naturalization'},3120,0.28034863869170634,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22325801849365234,0.9414238929748535,0.0,0.0
{'Age=17.00-34.00'},2871,0.25797466079611825,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22050023078918457,0.5243017673492432,0.0,0.0
{'StateCode=Texas'},2743,0.24647317818312517,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21024489402770996,0.5184330940246582,0.0,0.0
{'Age=50.00-64.00'},2642,0.2373977895588103,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2187671661376953,0.5465009212493896,0.0,0.0
{'RaceEthnicity=Some other race alone'},2456,0.22068469763680473,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21156692504882812,0.5428371429443359,0.0,0.0
{'StateCode=Florida'},1542,0.13855692335340103,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.22486090660095215,0.27547597885131836,0.0,0.0
{'Region=Northeast'},1504,0.13514242070266871,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2334578037261963,0.370211124420166,0.0,0.0
{'RaceEthnicity=Asian alone'},1356,0.12184383143139545,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.20715117454528809,0.3297288417816162,0.0,0.0
{'StateCode=New York'},1244,0.1117800341450265,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.21109795570373535,0.27065300941467285,0.0,0.0
{'Age=>64.00'},1136,0.1020756581903136,-0.016796296852787163,-0.016796296852787163,0.7525606469002696,0.7525606469002696,0.2054738998413086,0.2259540557861328,0.0,0.0
