subpop,treatment_combo,ate1,p-value1,ate2,p-value2,score
"{'CitizenshipStatus': 'Born in the U.S.', 'Nativity': 'yes'}","(('TemporaryAbsenceFromWork', 'Did not report'), ('SchoolEnrollment', 'No, has not attended in the last 3 months'))",0.049576193686331704,0.012048497961146067,-0.01910049146345605,0.03068695914494018,0.06867668514978775
{'CitizenshipStatus': 'Born in the U.S.'},"(('TemporaryAbsenceFromWork', 'Did not report'), ('SchoolEnrollment', 'No, has not attended in the last 3 months'))",0.04945904496989384,0.012227818496708235,-0.01911198482783849,0.0305610083487839,0.06857102979773233
{'Nativity': 'yes'},"(('TemporaryAbsenceFromWork', 'Did not report'), ('SchoolEnrollment', 'No, has not attended in the last 3 months'))",0.045609137107996744,0.020322127166045794,-0.019055841213655667,0.030449655831695024,0.06466497832165241
"{'RaceEthnicity': 'White alone', 'WithADisability': 'no'}","(('TotalPersonEarnings', '<0.00'),)",-0.026094142468201187,0.005901576540285583,0.010222653694443196,0.0379838769816846,0.03631679616264438
"{'WithADisability': 'no', 'RaceEthnicity': 'White alone', 'Nativity': 'yes'}","(('WorkedLastWeek', 'no'),)",-0.015502470178443417,0.042703151192012026,0.009868156483545665,0.026592892708734134,0.025370626661989082
"{'CitizenshipStatus': 'Born in the U.S.', 'RaceEthnicity': 'White alone', 'Sex': 'Man', 'Nativity': 'yes'}","(('TotalPersonEarnings', '<0.00'),)",-0.0175271693320449,0.04865532036579508,0.015225275033821428,0.007489006255047763,0.03275244436586633
"{'RaceEthnicity': 'White alone', 'CitizenshipStatus': 'Born in the U.S.', 'Sex': 'Man'}","(('TotalPersonEarnings', '<0.00'),)",-0.017527169332044346,0.04865532036580109,0.015225275033821095,0.007489006255048276,0.03275244436586544
{'Region': 'South'},"(('TotalPersonEarnings', '<0.00'),)",-0.052982843195755525,0.00017245356355155838,0.024792035391069667,0.0010741797745329683,0.07777487858682519
"{'Nativity': 'yes', 'Region': 'South'}","(('TotalPersonEarnings', '<0.00'),)",-0.05765106600834802,0.00019090972153308131,0.02172121051193343,0.006935078089296936,0.07937227652028145
"{'CitizenshipStatus': 'Born in the U.S.', 'Nativity': 'yes', 'Region': 'South'}","(('TemporaryAbsenceFromWork', 'Did not report'), ('SchoolEnrollment', 'No, has not attended in the last 3 months'))",0.09587207506759376,0.03206075311306501,-0.04223511139711511,0.032329418539468656,0.13810718646470888
"{'Region': 'South', 'CitizenshipStatus': 'Born in the U.S.'}","(('TemporaryAbsenceFromWork', 'Did not report'), ('SchoolEnrollment', 'No, has not attended in the last 3 months'))",0.09587207506759055,0.03206075311306973,-0.04223511139711422,0.032329418539474165,0.13810718646470477
"{'WithADisability': 'no', 'Region': 'South', 'RaceEthnicity': 'White alone', 'Nativity': 'yes'}","(('TotalPersonEarnings', '<0.00'),)",-0.041750064789761177,0.03933497827821002,0.02118439006664008,0.04152773313977848,0.06293445485640126
"{'RaceEthnicity': 'White alone', 'Region': 'South', 'Sex': 'Man'}","(('TotalPersonEarnings', '<0.00'),)",-0.041954966235446256,0.01597384073719965,0.026814536773782427,0.018638251563973827,0.06876950300922868
"{'RaceEthnicity': 'White alone', 'StateCode': 'Texas'}","(('TotalPersonEarnings', '<0.00'),)",-0.050995165961086775,0.017945649404863886,0.02827151574135356,0.015754019846025986,0.07926668170244033
"{'RaceEthnicity': 'White alone', 'Region': 'South', 'StateCode': 'Texas'}","(('TotalPersonEarnings', '<0.00'),)",-0.05062904456422124,0.018325149563816177,0.029401436205777065,0.01224794885427744,0.0800304807699983
"{'RaceEthnicity': 'White alone', 'Nativity': 'yes', 'StateCode': 'Texas'}","(('TotalPersonEarnings', '<0.00'),)",-0.04872336054524107,0.039032071670728655,0.030487787368024932,0.012549923078446277,0.079211147913266
"{'RaceEthnicity': 'White alone', 'StateCode': 'Texas', 'Region': 'South', 'Nativity': 'yes'}","(('TotalPersonEarnings', '<0.00'),)",-0.04872336054524051,0.03903207167072969,0.030487787368025043,0.012549923078445121,0.07921114791326556
"{'CitizenshipStatus': 'Born in the U.S.', 'RaceEthnicity': 'White alone', 'StateCode': 'Texas', 'Nativity': 'yes'}","(('TotalPersonEarnings', '<0.00'),)",-0.052011684887985576,0.028339271468993635,0.028348858915295705,0.02090330718754093,0.08036054380328128
"{'RaceEthnicity': 'White alone', 'CitizenshipStatus': 'Born in the U.S.', 'StateCode': 'Texas'}","(('TotalPersonEarnings', '<0.00'),)",-0.052011684887985576,0.02833927146899376,0.028348858915295594,0.0209033071875406,0.08036054380328117
"{'RaceEthnicity': 'White alone', 'CitizenshipStatus': 'Born in the U.S.', 'Region': 'South', 'StateCode': 'Texas'}","(('TotalPersonEarnings', '<0.00'),)",-0.052011684887985576,0.028339271468993593,0.028348858915295927,0.02090330718753896,0.0803605438032815
"{'RaceEthnicity': 'White alone', 'Region': 'South', 'CitizenshipStatus': 'Born in the U.S.', 'StateCode': 'Texas', 'Nativity': 'yes'}","(('TotalPersonEarnings', '<0.00'),)",-0.052011684887985576,0.02833927146899441,0.028348858915295705,0.0209033071875406,0.08036054380328128
"{'LanguageOtherThanEnglishSpokenAtHome': 'Spanish', 'Region': 'South'}","(('TotalPersonEarnings', '<0.00'),)",-0.06633450626340615,0.021331929513612697,0.038742339028546846,0.025898069785890876,0.10507684529195299
"{'RaceEthnicity': 'White alone', 'LanguageOtherThanEnglishSpokenAtHome': 'Spanish', 'Region': 'South'}","(('TotalPersonEarnings', '<0.00'),)",-0.07741707378979468,0.01595842975409375,0.04870191007333191,0.011375719590363046,0.1261189838631266
