subpop,treatment,cate1,cate2,score,size_group1,size_group2,support,avg_group1,avg_group2
"{'Age': '30.00-42.00', 'IsDiagnosedDiabetes': 0.0}","(('Exercise', 0.0),)",0.0747445301170718,0.0647894568037672,0.0099550733133045,1063,1595,0.19648137196924897,0.4393226716839135,0.43573667711598746
"{'IsBornInUSA': 1.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.071689699485523,0.0676677745585986,0.0040219249269243,1254,1353,0.19271141336487285,0.47368421052631576,0.4730229120473023
"{'IsBornInUSA': 1.0, 'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.076717538411394,0.0668664997522295,0.0098510386591644,1190,1270,0.18184506209343584,0.47478991596638653,0.47401574803149604
"{'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.1110116909929711,0.090376770390698,0.0206349206022731,1187,1145,0.17238320520402128,0.44818871103622576,0.44192139737991265
"{'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried', 'IsDiagnosedDiabetes': 0.0}","(('HoldHealthInsurance', 1),)",0.114038433751354,0.0965105992489284,0.0175278345024256,1166,1113,0.1684654050857481,0.44768439108061747,0.4411500449236298
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.1085023093965157,0.102721129112009,0.0057811802845066,1086,996,0.1539030159668835,0.4521178637200737,0.4367469879518072
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.1119037914230315,0.1073254011965444,0.004578390226487,1068,973,0.1508722649319929,0.45131086142322097,0.4367934224049332
"{'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.1084505056734336,0.0751007806682719,0.0333497250051617,989,940,0.14259314015375518,0.4590495449949444,0.4574468085106383
"{'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried', 'IsDiagnosedDiabetes': 0.0}","(('HoldHealthInsurance', 1),)",0.1108175429095951,0.0822165020211903,0.0286010408884047,971,915,0.13941454760496746,0.4593202883625129,0.4568306010928962
"{'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.1059285584003394,0.0848101702076342,0.0211183881927051,891,801,0.12507392075694856,0.46464646464646464,0.45068664169787764
"{'IsBornInUSA': 1.0, 'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.108814426031674,0.0893112464178025,0.0195031796138714,876,784,0.12270845653459492,0.4646118721461187,0.4502551020408163
