subpop,treatment_combo,ate1,p-value1,ate2,p-value2,score
"{'Age': '30.00-42.00', 'IsDiagnosedDiabetes': 0.0}","(('Exercise', 0.0),)",0.07474453011707188,0.01442819448493806,0.06478945680376724,0.00880800424385663,0.009955073313304641
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.11403843375135408,0.00047589167735332825,0.09651059924892852,0.0038235584633394605,0.017527834502425566
"{'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.11101169099297115,0.0006351170601478202,0.09037677039069753,0.006154821147659797,0.02063492060227362
"{'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.10850230939651562,0.0013785600255427524,0.10272112911200881,0.0036085815151126062,0.005781180284506804
"{'MaritalStatus': 'NeverMarried', 'IsDiagnosedAsthma': 0.0, 'IsBornInUSA': 1.0, 'IsDiagnosedDiabetes': 0.0}","(('HoldHealthInsurance', 1),)",0.07671753841139412,0.020393656537468843,0.06686649975222947,0.030818254497173514,0.009851038659164646
"{'MaritalStatus': 'NeverMarried', 'IsBornInUSA': 1.0, 'IsDiagnosedAsthma': 0.0}","(('HoldHealthInsurance', 1),)",0.07168969948552306,0.027372341950015096,0.06766777455859863,0.02548119934306622,0.004021924926924436
"{'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0}","(('HoldHealthInsurance', 1),)",0.11190379142303153,0.0010185732365484974,0.10732540119654438,0.002623181430419029,0.00457839022648715
"{'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.10845050567343373,0.0028159444129216664,0.07510078066827186,0.03752539989556444,0.03334972500516187
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedDiabetes': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.11081754290959489,0.002386438637067018,0.08221650202119041,0.024546044994482128,0.028601040888404483
"{'MaritalStatus': 'NeverMarried', 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0}","(('HoldHealthInsurance', 1),)",0.10592855840033938,0.005585934873096721,0.08481017020763482,0.029847835455507538,0.021118388192704562
"{'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.10881442603167407,0.0046217871915730435,0.08931124641780241,0.023700044569850753,0.019503179613871657
"{'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'IsDiagnosedAsthma': 0.0}","(('HoldHealthInsurance', 3),)",-0.1252704713378061,0.01529976445628969,-0.1409494960905764,0.02395256237960865,0.015679024752770276
"{'Race': 'White', 'IsDiagnosedDiabetes': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 3),)",-0.13167760202450607,0.010912746654482929,-0.14076158399731015,0.025618542444332454,0.009083981972804078
"{'Race': 'White', 'MaritalStatus': 'NeverMarried', 'IsDiagnosedAsthma': 0.0, 'Age': '<30.00'}","(('HoldHealthInsurance', 3),)",-0.13971644884957546,0.013601167800715533,-0.1735613349841001,0.006479511348508036,0.03384488613452463
"{'IsDiagnosedDiabetes': 0.0, 'IsDiagnosedAsthma': 0.0, 'Age': '<30.00', 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 3),)",-0.1416724767368278,0.01251255334963373,-0.1848998747732845,0.0038665847173521587,0.0432273980364567
"{'IsDiagnosedDiabetes': 0.0, 'Age': '<30.00', 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 2),)",-0.13294103337609775,0.04732672517299747,-0.16683068313446547,0.002020908962435408,0.033889649758367724
"{'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'Race': 'White', 'Age': '<30.00'}","(('HoldHealthInsurance', 1),)",0.220996062956819,3.020593962295616e-05,0.19734067607431338,0.00015223970795346368,0.023655386882505625
"{'IsDiagnosedAsthma': 0.0, 'Race': 'White', 'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'Age': '<30.00'}","(('HoldHealthInsurance', 1),)",0.21224759972882057,0.00014061175414196113,0.19591913269462963,0.00037543806063546206,0.01632846703419094
"{'Age': '<30.00', 'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'Race': 'White', 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.21177978314716883,0.000147358245059132,0.20276517747138673,0.0002444795648926562,0.009014605675782106
"{'DoesDoctorRecommendExercise': 0.0, 'Region': 'South', 'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried'}","(('CurrentlySmoke', 0),)",-0.13066545677749336,0.025573417109509104,-0.20732610409110436,0.007228492562722562,0.076660647313611
"{'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried', 'Region': 'South'}","(('CurrentlySmoke', 0),)",-0.12564917067070613,0.031525121467188985,-0.18403881121650129,0.014838814550394663,0.05838964054579515
"{'DoesDoctorRecommendExercise': 0.0, 'Region': 'South', 'MaritalStatus': 'NeverMarried', 'IsDiagnosedAsthma': 0.0}","(('CurrentlySmoke', 0),)",-0.12667252667882034,0.037809101978088004,-0.18383570776305985,0.019572893368522627,0.05716318108423951
"{'IsDiagnosedAsthma': 0.0, 'Race': 'White', 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'Age': '<30.00'}","(('IsWorking', 'ActivelyWorking'),)",0.13509512897943737,0.024206471460667366,0.1340588339040682,0.023803381053790172,0.0010362950753691758
"{'Age': '<30.00', 'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'Race': 'White', 'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('IsWorking', 'ActivelyWorking'),)",0.13412551764563752,0.025431774784450325,0.1323893033503437,0.025641514764407295,0.0017362142952938031
"{'MaritalStatus': 'NeverMarried', 'IsDiagnosedAsthma': 0.0, 'Region': 'South', 'IsDiagnosedDiabetes': 0.0, 'DoesDoctorRecommendExercise': 0.0}","(('CurrentlySmoke', 0),)",-0.13125204380882566,0.03171147420082238,-0.1936709772732062,0.01532303152976727,0.062418933464380544
