subpop,treatment_combo,ate1,p-value1,ate2,p-value2,score
"{'Age': '30.00-42.00', 'IsDiagnosedDiabetes': 0.0}","(('Exercise', 0.0),)",0.07474453011707183,0.014428194484938145,0.06478945680376708,0.008808004243856892,0.009955073313304752
"{'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried', 'IsBornInUSA': 1.0}","(('HoldHealthInsurance', 1),)",0.07671753841139434,0.02039365653746837,0.06686649975222947,0.03081825449717305,0.009851038659164868
"{'IsBornInUSA': 1.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.07168969948552312,0.027372341950015096,0.06766777455859879,0.025481199343066252,0.004021924926924325
"{'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0}","(('HoldHealthInsurance', 1),)",0.11101169099297081,0.0006351170601478202,0.09037677039069786,0.006154821147659657,0.020634920602272955
"{'IsDiagnosedDiabetes': 0.0, 'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0}","(('HoldHealthInsurance', 1),)",0.1140384337513543,0.00047589167735332825,0.09651059924892808,0.003823558463339647,0.01752783450242623
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.10850230939651562,0.0013785600255427312,0.10272112911200881,0.003608581515112564,0.005781180284506804
"{'IsDiagnosedAsthma': 0.0, 'IsDiagnosedDiabetes': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.11190379142303158,0.0010185732365484855,0.10732540119654432,0.002623181430419057,0.004578390226487261
"{'MaritalStatus': 'NeverMarried', 'DoesDoctorRecommendExercise': 0.0, 'IsBornInUSA': 1.0}","(('HoldHealthInsurance', 1),)",0.10845050567343395,0.002815944412921585,0.07510078066827175,0.037525399895564804,0.0333497250051622
"{'DoesDoctorRecommendExercise': 0.0, 'IsDiagnosedAsthma': 0.0, 'IsBornInUSA': 1.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.10592855840033927,0.005585934873096796,0.08481017020763443,0.029847835455508193,0.02111838819270484
"{'IsBornInUSA': 1.0, 'IsDiagnosedDiabetes': 0.0, 'DoesDoctorRecommendExercise': 0.0, 'MaritalStatus': 'NeverMarried'}","(('HoldHealthInsurance', 1),)",0.11081754290959506,0.0023864386370669784,0.08221650202119035,0.024546044994482208,0.028601040888404705
