subpop,treatment,cate1,cate2,score,size_group1,size_group2,support,avg_group1,avg_group2
{'Gender': 'Male'},"(('Exercise', '3 - 4 times per week'),)",32993.50133273023,6287.278017707416,0.0133531116575114,3516,25534,0.560689279275502,107004.71387940842,97056.7007519386
{'RaceEthnicity_WhiteorofEuropeandescent': 1.0},"(('Exercise', '3 - 4 times per week'),)",41526.62243242575,11070.285132206904,0.0152281686501094,2770,19540,0.4307785837071821,122765.99855595668,108953.62001023542
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male'}","(('Exercise', '3 - 4 times per week'),)",41693.10309187908,10242.70293795626,0.0157252000769614,2543,18286,0.40216343130267074,122605.92371215101,109707.6141310292
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'SexualOrientation': 'Straight or heterosexual'}","(('Exercise', '3 - 4 times per week'),)",38345.141322201554,9123.11505766766,0.0146110131322669,2479,17434,0.3843444719298981,125268.73134328358,111024.29631754044
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'SexualOrientation': 'Straight or heterosexual'}","(('Exercise', '3 - 4 times per week'),)",36649.757081525895,8836.238616148272,0.0139067592326888,2340,16732,0.36830740849440274,123667.0735042735,111218.64654554147
{'Age': '25 - 34 years old'},"(('Exercise', '3 - 4 times per week'),)",57323.799714969224,9295.704544063832,0.0240140475854526,1905,14495,0.31946249633139073,96984.64199475065,93119.99868920317
"{'Gender': 'Male', 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",60805.713521673635,9090.104897675032,0.0258578043119993,1720,13394,0.29445306276466393,98269.98604651162,93953.48036434225
"{'SexualOrientation': 'Straight or heterosexual', 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",56961.75198036153,8868.478408134528,0.0240466367861135,1670,12653,0.2789820133327743,99633.13592814372,95433.59424642377
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",65539.60474062923,12839.65119486439,0.0263499767728824,1304,10026,0.22145821978114125,115777.51687116564,105988.63076002394
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",66842.80663241765,11989.685410074482,0.0274265606111715,1177,9341,0.20560982768018113,117247.71537807987,107115.24098062306
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'SexualOrientation': 'Straight or heterosexual', 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",66753.0725339252,11677.370968840189,0.0275378507825425,1170,8977,0.1982726091149218,118527.5188034188,107199.31669822881
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'SexualOrientation': 'Straight or heterosexual', 'Age': '25 - 34 years old'}","(('Exercise', '3 - 4 times per week'),)",66590.72942156522,11220.031053627172,0.027685349183969,1091,8597,0.1894469833549956,118460.18240146655,107805.56391764569
"{'Gender': 'Male', 'Age': '18 - 24 years old'}","(('YearsCodingProf', '3-5 years'),)",54441.971507880015,21747.84164407164,0.0163470649319041,514,4959,0.10773133201962182,78249.21011673151,56603.97640653358
"{'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",87617.18980964719,25681.692666568342,0.0309677485715394,632,4783,0.10448199236929269,111329.69303797468,97301.45034497177
"{'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",92521.85044220267,28936.901225643072,0.0317924746082798,575,4491,0.09775271477086915,109182.30260869565,97917.17924738365
"{'EducationParents': 'Bachelor’s degree (BA, BS, B.Eng., etc.)', 'Age': '25 - 34 years old'}","(('CompanySize', '100 to 499 employees'),)",61911.16543307563,15874.0569004711,0.0230185542663022,540,4161,0.09156848769443629,104133.61296296296,94726.4638308099
"{'SexualOrientation': 'Straight or heterosexual', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",100476.48585513407,29357.459933009977,0.035559512961062,533,4215,0.09198775732673682,112896.10694183865,99126.05765124554
"{'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'SexualOrientation': 'Straight or heterosexual'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",98001.68400043748,30529.983363878637,0.0337358503182794,506,4063,0.0884239654521823,110627.81225296443,99400.30371646567
"{'EducationParents': 'Bachelor’s degree (BA, BS, B.Eng., etc.)', 'Gender': 'Male', 'Age': '25 - 34 years old'}","(('CompanySize', '100 to 499 employees'),)",67002.90681449944,18889.75429514519,0.0240565762596771,489,3845,0.08435705001886713,105694.25971370144,96085.97347204162
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('Exercise', '3 - 4 times per week'),)",100671.99568253556,20932.147229573064,0.0398699242264812,472,3637,0.07930485094964572,126419.27330508475,108803.82788012098
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",110645.36065184514,28973.752548228615,0.0408358040518082,437,3452,0.07509119114502537,124985.18077803204,109354.9304750869
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'SexualOrientation': 'Straight or heterosexual', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",126369.18914054798,30963.80580787758,0.0477026916663352,412,3267,0.07115005660140036,129749.75242718446,110026.15059687787
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'Age': '18 - 24 years old'}","(('Exercise', '3 - 4 times per week'),)",82627.47656353962,20829.615134990898,0.0308989307142743,327,3119,0.06796360739591631,90909.69724770643,67754.85668483489
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'SexualOrientation': 'Straight or heterosexual'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",121464.37576733214,32264.49583117827,0.0445999399680769,397,3162,0.06878118317890235,125581.38287153652,109837.08855154965
"{'Age': '25 - 34 years old', 'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'EducationParents': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}","(('Hobby', 'No'),)",79441.87143086286,44477.61310257482,0.017482129164144,314,2408,0.05351976856316297,115395.86305732484,102091.14451827243
"{'Age': '25 - 34 years old', 'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'SexualOrientation': 'Straight or heterosexual', 'EducationParents': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}","(('Hobby', 'No'),)",84648.26822474501,43292.134340377466,0.0206780669421837,282,2172,0.04825793467779129,117879.18439716312,103957.03913443831
