subpop,treatment_combo,ate1,p-value1,ate2,p-value2,score
{'RaceEthnicity_WhiteorofEuropeandescent': 1.0},"(('YearsCodingProf', '6-8 years'),)",29906.874017795722,0.02390133510772322,9673.236519414277,0.017540402818940558,0.010116818749190723
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Age': '25 - 34 years old'}","(('YearsCodingProf', '6-8 years'),)",44058.744992917724,0.011075198464367154,10552.09829434201,0.022739342269122678,0.016753323349287856
"{'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",112121.96035224204,0.0007148002193502536,26128.834367965595,0.004302886200689497,0.04299656299213822
"{'Age': '25 - 34 years old', 'EducationParents': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}","(('CompanySize', '100 to 499 employees'),)",65402.2038472484,0.029768740313923087,16700.247974967133,0.03619245482378824,0.024350977936140633
"{'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'Gender': 'Male'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",115661.87796380746,0.0010664522957923978,29208.881496539296,0.0023954933984355435,0.043226498233634086
"{'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'SexualOrientation': 'Straight or heterosexual'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",120932.46554048207,0.0009217765456019394,29603.876343026393,0.0029097850292430067,0.04566429459872784
"{'SexualOrientation': 'Straight or heterosexual', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'Gender': 'Male'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",117040.44245958702,0.0016314237622502895,30697.72620102107,0.002623500034558728,0.04317135812928298
"{'Gender': 'Male', 'Age': '25 - 34 years old', 'EducationParents': 'Bachelor’s degree (BA, BS, B.Eng., etc.)'}","(('CompanySize', '100 to 499 employees'),)",70069.9556695667,0.020714218144106723,19807.86966400841,0.019104138397112405,0.025131043002779144
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",137240.54689047416,0.0010506391165328293,27527.46520000152,0.011784896454572726,0.05485654084523632
"{'Age': '18 - 24 years old', 'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male'}","(('YearsCodingProf', '3-5 years'),)",75692.58679189198,0.022528349634625206,24164.226901618473,0.0004592230780053972,0.025764179945136755
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",140042.79960895216,0.001235263042587834,29456.724726009284,0.009581952569906424,0.05529303744147144
"{'Gender': 'Male', 'Age': '25 - 34 years old', 'EducationParents': 'Bachelor’s degree (BA, BS, B.Eng., etc.)', 'SexualOrientation': 'Straight or heterosexual'}","(('CompanySize', '100 to 499 employees'),)",61101.173635520856,0.03880589799011201,18584.542080108484,0.04231016011798617,0.021258315777706187
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)', 'SexualOrientation': 'Straight or heterosexual'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",154024.6767654696,0.0005993712158659552,31354.207788678643,0.00707779596486677,0.06133523448839548
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'SexualOrientation': 'Straight or heterosexual', 'Gender': 'Male', 'EducationParents': 'Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)'}","(('HopeFiveYears', 'Working as an engineering manager or other functional manager'),)",147514.62020120246,0.0010688197220434985,32445.99603891693,0.006225884885104438,0.05753431208114276
"{'Age': '25 - 34 years old', 'EducationParents': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)', 'RaceEthnicity_WhiteorofEuropeandescent': 1.0}","(('Hobby', 'No'),)",79441.87143086322,0.03682051488973991,44477.61310257504,7.817769919450616e-05,0.01748212916414409
"{'RaceEthnicity_WhiteorofEuropeandescent': 1.0, 'Age': '25 - 34 years old', 'SexualOrientation': 'Straight or heterosexual', 'EducationParents': 'Master’s degree (MA, MS, M.Eng., MBA, etc.)'}","(('Hobby', 'No'),)",84648.26822474401,0.037321366025906015,43292.134340377524,0.0003738568020764136,0.020678066942183243
